hour_of_the_day,day_of_the_week,client_user,client_host,client_ip,client_program,service_name
4.407500000000001,1,SYSTEM,YSCCP-00008,172.18.161.29,C:\Program?Files\Evolynx\Kernel\exe\Evolynx-Frontal.exe,SUSITST
4.419166666666667,1,,,,,SUSITST
11.829444444444444,1,jps001,__jdbc__,188.184.140.90,JDBC Thin Client,devdb11_s.cern.ch
11.830555555555556,1,,,,,C2PPSDB1
4.3869444444444445,1,zabbix,ssm.cern.ch,172.26.104.244,sqlplus,ZORATST
4.400555555555556,1,SYSTEM,YSCCP-00008,172.18.161.29,C:\Program?Files\Evolynx\kernel\exe\Evolynx-serveur.exe,SUSITST
4.411666666666667,1,,,,,SUSITST
11.826666666666666,1,,,,,INT2R1
4.376666666666666,1,SYSTEM,YSCCP-00008,172.18.161.29,C:\Program?Files\Evolynx\Kernel\exe\Evolynx-Frontal.exe,SUSITST
4.388055555555556,1,YSCCP-20000$,__jdbc__,172.18.161.8,JDBC Thin Client,susitst
4.401944444444445,1,SYSTEM,YSCCP-00008,172.18.161.29,C:\Program?Files\Evolynx\Kernel\exe\Evolynx-Frontal.exe,SUSITST
4.4141666666666675,1,,,,,ZORATST
11.829444444444444,1,jps001,__jdbc__,188.184.140.90,JDBC Thin Client,devdb11_s.cern.ch
4.3741666666666665,1,,,,,SUSITST
4.3869444444444445,1,,,,,EDMSTST
4.4125000000000005,1,,,,,ZORATST
4.413055555555556,1,SYSTEM,YSCCP-00008,172.18.161.29,C:\Program?Files\Evolynx\Kernel\exe\Evolynx-Frontal.exe,SUSITST
11.826944444444445,1,oracle,itrac1301.cern.ch,,,
4.3852777777777785,1,oracle,itrac1328.cern.ch,,,
4.39638888888889,1,SYSTEM,YSCCP-00008,172.18.161.29,C:\Program?Files\Evolynx\Kernel\exe\Evolynx-Frontal.exe,SUSITST
4.409722222222222,1,,,,,EDMSTST
4.419444444444445,1,inforops,__jdbc__,137.138.161.94,JDBC Thin Client,EDMSTST
4.411111111111111,1,flume,__jdbc__,10.16.6.145,JDBC Thin Client,C
4.429166666666667,1,,,,,ZORATST
11.829722222222221,1,,,,,INTDB112
11.821388888888889,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.821666666666667,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.822222222222223,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
4.430000000000001,1,SYSTEM,YSCCP-00008,172.18.161.29,C:\Program?Files\Evolynx\Kernel\exe\Evolynx-Frontal.exe,SUSITST
11.829444444444444,1,dboard,dashb-ai-651.cern.ch,128.142.146.223,python,int11r.cern.ch
11.821666666666667,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.821944444444444,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.822222222222223,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
4.427777777777778,1,flume,__jdbc__,10.16.6.145,JDBC Thin Client,C
11.828888888888889,1,,,,,INTDB112
11.821388888888889,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.821666666666667,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.822222222222223,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
4.425000000000001,1,,,,,SUSITST
11.829722222222221,1,,,,,INTDB112
11.821388888888889,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.821666666666667,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.822222222222223,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
4.424166666666667,1,,,,,ZORATST
11.828888888888889,1,,,,,INTDB112
11.821388888888889,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.821666666666667,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.822222222222223,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
